Backorder_ID,Order_Line_ID,Order_ID,SKU,Quantity_Backordered,Backorder_Date,Status
BO00398,OL137251,ORD45671,SKU0408,12,2024-11-16,Pending
BO00399,OL137267,ORD45676,SKU0319,26,2024-11-16,Pending
BO00400,OL137352,ORD45703,SKU0408,20,2024-11-16,Pending
BO00401,OL137366,ORD45708,SKU0310,15,2024-11-16,Pending
BO00402,OL137722,ORD45822,SKU0202,5,2024-11-19,Pending
BO00403,OL137738,ORD45828,SKU0319,8,2024-11-19,Pending
BO00404,OL137898,ORD45881,SKU0188,1,2024-11-20,Pending
BO00405,OL137972,ORD45908,SKU0201,1,2024-11-20,Pending
BO00406,OL138136,ORD45959,SKU0202,8,2024-11-21,Pending
BO00407,OL138194,ORD45975,SKU0201,8,2024-11-22,Pending
BO00408,OL138195,ORD45975,SKU0202,10,2024-11-22,Pending
BO00409,OL138274,ORD45999,SKU0119,16,2024-11-22,Pending
BO00410,OL138276,ORD46000,SKU0040,15,2024-11-22,Pending
BO00411,OL138376,ORD46031,SKU0119,4,2024-11-23,Pending
BO00412,OL138495,ORD46073,SKU0006,1,2024-11-24,Pending
BO00413,OL138815,ORD46176,SKU0291,12,2024-11-26,Pending
BO00414,OL139219,ORD46313,SKU0046,2,2024-11-29,Pending
BO00415,OL139250,ORD46325,SKU0498,9,2024-11-29,Pending
BO00416,OL139300,ORD46343,SKU0291,7,2024-11-29,Pending
BO00417,OL139341,ORD46357,SKU0046,13,2024-11-29,Pending
BO00418,OL139409,ORD46381,SKU0290,17,2024-11-30,Pending
BO00419,OL139414,ORD46382,SKU0021,2,2024-11-30,Pending
BO00420,OL139425,ORD46386,SKU0021,14,2024-11-30,Pending
BO00421,OL139447,ORD46395,SKU0370,13,2024-11-30,Pending
BO00422,OL139529,ORD46423,SKU0306,2,2024-11-30,Pending
BO00423,OL139553,ORD46430,SKU0046,17,2024-11-30,Pending
BO00424,OL139588,ORD46442,SKU0021,15,2024-12-01,Pending
BO00425,OL139597,ORD46445,SKU0021,5,2024-12-01,Pending
BO00426,OL139608,ORD46448,SKU0259,10,2024-12-01,Pending
BO00427,OL139650,ORD46461,SKU0206,3,2024-12-01,Pending
BO00428,OL139657,ORD46462,SKU0291,12,2024-12-01,Pending
BO00429,OL139664,ORD46468,SKU0109,8,2024-12-01,Pending
BO00430,OL139718,ORD46487,SKU0290,11,2024-12-02,Pending
BO00431,OL139736,ORD46492,SKU0291,20,2024-12-02,Pending
BO00432,OL139761,ORD46503,SKU0021,4,2024-12-02,Pending
BO00433,OL139795,ORD46517,SKU0290,20,2024-12-02,Pending
BO00434,OL139803,ORD46519,SKU0306,3,2024-12-02,Pending
BO00435,OL139807,ORD46520,SKU0306,7,2024-12-02,Pending
BO00436,OL139817,ORD46524,SKU0259,16,2024-12-02,Pending
BO00437,OL139832,ORD46528,SKU0447,3,2024-12-03,Pending
BO00438,OL139898,ORD46552,SKU0206,10,2024-12-03,Pending
BO00439,OL139980,ORD46579,SKU0447,18,2024-12-03,Pending
BO00440,OL140037,ORD46596,SKU0109,3,2024-12-04,Pending
BO00441,OL140082,ORD46610,SKU0046,5,2024-12-04,Pending
BO00442,OL140119,ORD46622,SKU0447,4,2024-12-04,Pending
BO00443,OL140120,ORD46622,SKU0188,5,2024-12-04,Pending
BO00444,OL140265,ORD46663,SKU0206,8,2024-12-05,Pending
BO00445,OL140335,ORD46688,SKU0198,8,2024-12-06,Pending
BO00446,OL140351,ORD46694,SKU0206,20,2024-12-06,Pending
BO00447,OL140876,ORD46864,SKU0096,2,2024-12-10,Pending
BO00448,OL141258,ORD46995,SKU0054,6,2024-12-13,Pending
BO00449,OL141278,ORD47002,SKU0234,7,2024-12-13,Pending
BO00450,OL141418,ORD47045,SKU0457,7,2024-12-14,Pending
BO00451,OL141477,ORD47061,SKU0054,12,2024-12-14,Pending
BO00452,OL141589,ORD47095,SKU0086,4,2024-12-15,Pending
BO00453,OL141590,ORD47095,SKU0069,14,2024-12-15,Pending
BO00454,OL141639,ORD47111,SKU0234,11,2024-12-15,Pending
BO00455,OL141727,ORD47139,SKU0086,8,2024-12-16,Pending
BO00456,OL141815,ORD47166,SKU0096,5,2024-12-16,Pending
BO00457,OL141887,ORD47191,SKU0086,3,2024-12-17,Pending
BO00458,OL142002,ORD47229,SKU0031,3,2024-12-17,Pending
BO00459,OL142255,ORD47305,SKU0086,6,2024-12-19,Pending
BO00460,OL142337,ORD47330,SKU0181,13,2024-12-20,Pending
BO00461,OL142468,ORD47374,SKU0086,13,2024-12-21,Pending
BO00462,OL142671,ORD47444,SKU0086,15,2024-12-22,Pending
BO00463,OL143150,ORD47617,SKU0181,8,2024-12-25,Pending
BO00464,OL143321,ORD47669,SKU0119,3,2024-12-26,Pending
BO00465,OL143363,ORD47684,SKU0493,2,2024-12-26,Pending
BO00466,OL143394,ORD47694,SKU0458,9,2024-12-26,Pending
BO00467,OL143652,ORD47773,SKU0092,1,2024-12-28,Pending
BO00468,OL143736,ORD47802,SKU0493,22,2024-12-29,Pending
BO00469,OL143919,ORD47861,SKU0196,6,2024-12-30,Pending
BO00470,OL143963,ORD47874,SKU0497,7,2024-12-30,Pending
BO00471,OL144095,ORD47919,SKU0094,9,2024-12-31,Pending
BO00472,OL144144,ORD47936,SKU0237,9,2024-12-31,Pending
BO00473,OL144205,ORD47958,SKU0094,3,2025-01-01,Pending
BO00474,OL144533,ORD48061,SKU0237,3,2025-01-03,Pending
BO00475,OL144584,ORD48075,SKU0094,3,2025-01-03,Pending
BO00476,OL144833,ORD48157,SKU0458,2,2025-01-05,Pending
BO00477,OL159475,ORD53005,SKU0155,2,2025-04-05,Pending
BO00478,OL164250,ORD54590,SKU0458,2,2025-05-03,Pending
